seconds,processes,cpu_machine_percent,working_set_mb,private_mb
5.2,7,0.179,359.95,162.66
10.3,7,0.256,359.75,162.47
15.3,7,0.257,359.80,162.50
20.4,7,0.257,362.66,165.30
25.4,7,0.206,362.01,158.70
30.5,7,0.514,361.96,158.63
35.6,7,0.617,361.70,157.92
40.6,7,0.309,361.71,157.91
45.7,7,0.283,361.72,157.55
50.7,7,0.258,361.36,157.15
55.8,7,0.232,360.96,156.75
60.9,7,0.360,360.98,156.78
65.9,7,0.308,360.95,156.73
71.0,7,0.334,360.90,156.70
76.1,7,0.437,360.93,156.71
81.1,7,0.437,361.00,156.83
86.2,7,0.360,361.00,156.83
91.3,7,0.231,361.01,156.83
96.3,7,0.180,361.02,156.84
101.4,7,0.257,361.02,156.84
106.5,7,0.154,360.91,156.67
111.5,7,0.257,361.06,156.80
116.6,7,0.309,361.03,156.75
121.6,7,0.180,360.94,156.58
126.7,7,0.231,360.95,156.58
131.8,7,0.309,360.93,156.57
136.8,7,0.386,360.93,156.57
141.9,7,0.334,360.88,156.54
147.0,7,0.386,360.82,156.51
152.0,7,0.360,361.02,156.68
157.1,7,0.616,367.41,162.62
162.2,7,0.412,362.14,157.36
167.2,7,0.411,362.14,157.36
172.3,7,0.335,362.14,157.36
177.3,7,0.464,362.08,157.21
182.4,7,0.437,362.05,157.19
187.5,7,0.566,362.03,157.18
192.5,7,0.438,362.03,157.18
197.6,7,0.309,362.03,157.18
202.7,7,0.668,362.03,157.18
207.7,7,0.592,362.03,157.18
212.8,7,0.386,363.40,157.57
217.8,7,0.540,363.93,157.96
222.9,7,0.360,363.93,157.96
228.0,7,0.438,363.93,157.96
233.0,7,0.438,363.95,157.98
238.1,7,0.308,363.95,157.98
243.1,7,0.309,363.95,157.98
248.2,7,0.412,363.95,157.98
253.3,7,0.360,363.95,157.98
258.3,7,0.437,363.95,157.98
263.4,7,0.334,363.95,157.98
268.4,7,0.411,363.95,157.98
273.5,7,0.360,364.13,158.13
278.6,7,0.412,363.90,157.91
283.6,7,0.438,363.93,157.90
288.7,7,0.386,363.93,157.90
293.8,7,0.385,363.94,157.90
298.8,7,0.464,363.94,157.90
303.9,7,0.283,363.94,157.90
308.9,7,0.257,363.94,157.90
314.0,7,0.386,363.74,157.49
