seconds,processes,cpu_machine_percent,cpu_core_percent,working_set_mb,private_mb,heard
2.0,7,0.129,1.550,350.64,161.09,1
4.0,7,0.455,5.458,350.64,161.09,1
6.0,7,0.259,3.113,359.70,162.07,1
8.0,7,0.195,2.338,359.29,161.64,1
10.0,7,0.065,0.779,359.36,161.64,1
12.0,7,0.260,3.120,359.36,161.64,1
14.0,7,0.260,3.118,359.29,161.54,1
16.1,7,0.065,0.780,359.29,161.54,1
18.1,7,0.324,3.883,359.29,161.54,1
20.1,8,0.517,6.203,399.71,181.34,1
22.1,7,0.195,2.338,359.81,163.06,1
24.1,7,0.130,1.555,359.77,162.95,1
26.1,7,0.390,4.678,359.77,162.95,1
28.1,7,0.390,4.679,359.54,162.73,1
30.1,7,0.195,2.340,359.54,162.73,1
32.1,7,0.129,1.551,359.55,162.73,1
34.1,7,0.260,3.116,359.55,162.73,1
36.1,7,0.390,4.678,356.12,162.59,1
38.1,7,0.065,0.778,358.67,162.66,1
40.1,7,0.130,1.558,358.51,162.46,1
42.2,7,0.195,2.336,359.67,163.04,1
44.2,7,0.259,3.112,359.39,162.77,1
46.2,7,0.000,0.000,359.43,162.79,1
48.2,7,0.325,3.897,359.23,162.53,1
50.2,7,0.194,2.325,359.24,162.53,1
52.2,7,0.130,1.557,359.24,162.53,1
54.2,7,0.130,1.556,359.24,162.53,1
56.2,7,0.324,3.894,359.24,162.53,1
58.2,7,0.324,3.886,360.10,162.93,1
60.2,7,0.065,0.779,360.10,162.93,1
62.2,7,0.325,3.898,360.10,162.93,1
64.2,7,0.194,2.333,360.02,162.73,1
66.2,7,0.130,1.554,360.02,162.74,1
68.3,7,0.000,0.000,359.95,162.66,1
70.3,7,0.390,4.678,359.95,162.66,1
72.3,7,0.323,3.877,359.75,162.47,1
74.3,7,0.260,3.116,359.75,162.47,1
76.3,7,0.130,1.557,359.75,162.47,1
78.3,7,0.259,3.104,359.80,162.50,1
80.3,7,0.259,3.112,359.80,162.50,1
82.3,8,0.519,6.232,402.73,184.80,1
84.3,7,0.389,4.674,362.66,165.32,1
86.3,7,0.324,3.889,362.66,165.30,1
88.3,7,0.065,0.779,362.28,158.98,1
90.3,7,0.260,3.116,362.01,158.70,1
92.4,7,0.388,4.653,361.96,158.62,1
94.4,7,0.779,9.345,361.96,158.62,1
96.4,7,0.583,7.001,361.85,158.13,1
98.4,7,0.455,5.460,361.71,157.98,1
100.4,7,0.648,7.780,361.70,157.92,1
102.4,7,0.453,5.433,361.75,157.95,1
104.4,7,0.195,2.336,361.71,157.91,1
106.4,7,0.388,4.656,361.84,158.02,1
108.4,7,0.324,3.893,361.53,157.70,1
110.4,7,0.065,0.775,361.76,157.64,1
112.4,7,0.195,2.337,361.36,157.15,1
114.5,7,0.387,4.644,361.36,157.15,1
116.5,7,0.259,3.112,360.95,156.73,1
118.5,7,0.129,1.552,360.95,156.73,1
120.5,7,0.325,3.894,360.96,156.75,1
122.5,7,0.519,6.231,360.98,156.78,1
124.5,7,0.324,3.890,360.98,156.78,1
126.5,7,0.130,1.557,360.98,156.78,1
128.5,7,0.388,4.656,360.96,156.75,1
130.5,7,0.260,3.115,360.95,156.73,1
132.5,7,0.324,3.892,360.95,156.73,1
134.5,7,0.260,3.115,360.90,156.70,1
136.6,7,0.581,6.970,360.90,156.70,1
138.6,7,0.455,5.459,360.90,156.70,1
140.6,7,0.324,3.884,360.93,156.71,1
142.6,7,0.259,3.112,360.93,156.71,1
144.6,7,0.453,5.441,361.00,156.83,1
146.6,7,0.519,6.231,361.00,156.83,1
148.6,7,0.454,5.452,361.00,156.83,1
150.6,7,0.324,3.893,361.00,156.83,1
152.6,7,0.195,2.338,361.02,156.84,1
154.6,7,0.324,3.885,361.01,156.83,1
156.6,7,0.130,1.558,361.01,156.81,1
158.6,7,0.260,3.116,361.01,156.81,1
160.7,7,0.129,1.551,361.02,156.84,1
162.7,7,0.195,2.339,361.02,156.84,1
164.7,7,0.325,3.894,361.02,156.84,1
166.7,7,0.194,2.332,361.02,156.84,1
168.7,7,0.195,2.334,360.95,156.70,1
170.7,7,0.065,0.776,360.91,156.67,1
172.7,7,0.323,3.874,360.91,156.67,1
174.7,7,0.325,3.900,360.91,156.67,1
176.7,7,0.065,0.780,360.89,156.63,1
178.7,7,0.259,3.113,360.84,156.54,1
180.7,7,0.455,5.455,361.03,156.75,1
182.7,7,0.195,2.338,361.03,156.75,1
184.7,7,0.130,1.559,360.94,156.58,1
186.7,7,0.325,3.896,360.94,156.58,1
188.8,7,0.129,1.554,360.94,156.58,1
190.8,7,0.324,3.889,360.95,156.58,1
192.8,7,0.260,3.117,360.93,156.57,1
194.8,7,0.325,3.896,360.93,156.57,1
196.8,7,0.323,3.880,360.93,156.57,1
198.8,7,0.390,4.676,360.93,156.57,1
200.8,7,0.390,4.678,360.93,156.57,1
202.8,7,0.389,4.666,360.93,156.57,1
204.8,7,0.325,3.899,360.93,156.57,1
206.8,7,0.259,3.113,360.88,156.54,1
208.8,7,0.388,4.653,360.81,156.47,1
210.8,7,0.455,5.459,360.82,156.51,1
212.9,7,0.259,3.105,360.82,156.51,1
214.9,7,0.389,4.668,360.82,156.51,1
216.9,7,0.453,5.441,361.02,156.68,1
218.9,7,0.451,5.418,360.86,156.49,1
220.9,7,0.903,10.836,367.58,162.78,1
222.9,7,0.388,4.660,364.38,159.59,1
224.9,7,0.259,3.107,362.14,157.36,1
226.9,7,0.454,5.444,362.14,157.36,1
228.9,7,0.455,5.457,362.14,157.36,1
231.0,7,0.454,5.450,362.15,157.37,1
233.0,7,0.454,5.445,362.14,157.36,1
235.0,7,0.324,3.883,362.14,157.36,1
237.0,7,0.258,3.101,362.14,157.36,1
239.0,7,0.585,7.015,362.14,157.36,1
241.0,7,0.455,5.458,362.08,157.21,1
243.0,7,0.325,3.896,362.08,157.21,1
245.0,7,0.584,7.010,362.08,157.21,1
247.0,7,0.260,3.116,362.06,157.21,1
249.0,7,0.713,8.561,362.03,157.18,1
251.0,7,0.324,3.891,362.03,157.18,1
253.0,7,0.585,7.015,362.03,157.18,1
255.0,7,0.648,7.772,362.03,157.18,1
257.1,7,0.259,3.109,362.03,157.18,1
259.1,7,0.322,3.869,362.03,157.18,1
261.1,7,0.323,3.871,362.03,157.18,1
263.1,7,0.324,3.887,362.03,157.18,1
265.1,7,0.779,9.345,362.03,157.18,1
267.1,7,0.713,8.561,362.03,157.18,1
269.1,7,0.774,9.290,362.03,157.18,1
271.1,7,0.390,4.677,362.03,157.18,1
273.1,7,0.519,6.226,362.03,157.18,1
275.2,7,0.519,6.230,362.03,157.18,1
277.2,7,0.259,3.109,363.40,157.57,1
279.2,7,0.454,5.453,363.64,157.70,1
281.2,7,0.649,7.784,363.64,157.71,1
283.2,7,0.454,5.451,363.93,157.96,1
285.2,7,0.260,3.116,363.93,157.96,1
287.2,7,0.390,4.677,363.93,157.96,1
289.2,7,0.520,6.235,363.93,157.96,1
291.2,7,0.454,5.450,363.93,157.96,1
293.2,7,0.454,5.452,363.95,157.98,1
295.2,7,0.259,3.110,363.95,157.98,1
297.2,7,0.519,6.227,363.95,157.98,1
299.2,7,0.324,3.892,363.95,157.98,1
301.2,7,0.194,2.329,363.95,157.98,1
303.3,7,0.390,4.677,363.95,157.98,1
305.3,7,0.387,4.649,363.95,157.98,1
307.3,7,0.260,3.119,363.95,157.98,1
309.3,7,0.258,3.099,363.95,157.98,1
311.3,7,0.519,6.227,363.95,157.98,1
313.3,7,0.388,4.657,363.95,157.98,1
315.3,7,0.324,3.885,363.95,157.98,1
317.3,7,0.455,5.461,363.95,157.98,1
319.3,7,0.455,5.455,363.95,157.98,1
321.3,7,0.323,3.882,363.95,157.98,1
323.4,7,0.454,5.445,363.95,157.98,1
325.4,7,0.324,3.890,363.95,157.98,1
327.4,7,0.453,5.436,363.95,157.98,1
329.4,7,0.260,3.115,363.95,157.98,1
331.4,7,0.390,4.678,363.95,157.98,1
333.4,7,0.518,6.219,363.95,157.98,1
335.4,7,0.324,3.885,363.95,157.98,1
337.4,7,0.324,3.888,364.12,158.13,1
339.4,7,0.453,5.438,364.11,158.10,1
341.4,7,0.519,6.232,363.86,157.89,1
343.4,7,0.260,3.120,363.90,157.91,1
345.4,7,0.325,3.895,363.96,157.93,1
347.4,7,0.583,6.998,363.96,157.93,1
349.5,7,0.390,4.675,363.93,157.90,1
351.5,7,0.454,5.450,363.93,157.90,1
353.5,7,0.324,3.890,363.93,157.90,1
